2 	2900 	149
2 	0392 	1
973 	2900 	12
2010 	2900 	26
2313 	0158 	2
2988 	2900 	12
3000 	0392 	4
3000 	2900 	25
3133 	5620 	2
1595 	0158 	1
3370 	2900 	7
3370 	0392 	3
4199 	2900 	6
248 	2900 	3
248 	2610 	2
917 	2900 	1
2666 	2900 	2
2666 	6020 	28
4080 	2900 	3
60 	2610 	1
435 	2900 	3
1209 	2900 	5
1263 	2900 	4
1685 	2900 	5
2601 	2900 	1
3795 	2900 	2
3795 	6020 	1
1517 	2900 	6
1842 	0158 	1
1842 	2900 	4
1903 	5950 	1
1903 	2900 	7
3280 	2900 	4
3568 	7910 	1
3568 	2900 	2
599 	2900 	6
1211 	7310 	1
1211 	2900 	37
1643 	2900 	1
1769 	2900 	1
1769 	0158 	1
2132 	2900 	2
2957 	2900 	4
3668 	2900 	1
4058 	2900 	5
1220 	0392 	5
1556 	2900 	5
3360 	2900 	4
340 	2900 	14
1694 	2900 	18
3013 	2900 	1
3058 	2750 	2
3058 	2660 	2
3140 	2900 	1
553 	2900 	3
1554 	2900 	18
1989 	2900 	3
2162 	2900 	2
2925 	2900 	19
709 	2900 	2
1418 	0158 	1
1418 	2900 	15
2739 	2900 	2
2872 	2900 	10
3409 	2900 	24
3409 	0158 	1
322 	2900 	7
436 	2900 	1
753 	2900 	1
1891 	2900 	33
2466 	2900 	2
2825 	2900 	14
3142 	0158 	2
3142 	2900 	2
3514 	2900 	40
1371 	2900 	1
1925 	2900 	5
2123 	2900 	16
2655 	2900 	8
2655 	0158 	2
3158 	2900 	72
3536 	2900 	1
3982 	2900 	9
3269 	2900 	14
3639 	2900 	2
4116 	2900 	41
1800 	5850 	5
1941 	6510 	3
3168 	2900 	18
1828 	0392 	1
1828 	2900 	18
1899 	2900 	9
2152 	5800 	1
3698 	2900 	20
1192 	2900 	3
1192 	0392 	1
1397 	2900 	14
2321 	0158 	1
3387 	2900 	3
3387 	0392 	1
3628 	0158 	1
3628 	2900 	2
3979 	2900 	22
4013 	2900 	4
257 	2900 	1
2603 	2900 	18
928 	3050 	1
928 	6020 	2
928 	2900 	4
1743 	2900 	3
2557 	0158 	1
2557 	2900 	12
3253 	2900 	15
3375 	2900 	2
3375 	0158 	2
3986 	2900 	18
3986 	0392 	2
177 	2900 	8
1188 	0158 	5
1188 	2900 	6
1429 	2900 	3
3721 	2900 	8
4179 	2900 	7
124 	2900 	4
124 	5840 	1
839 	2900 	1
1052 	2900 	3
1152 	2900 	1
1170 	2900 	29
1436 	2900 	3
2352 	2900 	9
2731 	2900 	2
2948 	2900 	1
2948 	1100 	1
3433 	2900 	38
3745 	2900 	1
3955 	4770 	2
380 	2900 	15
951 	2900 	11
1437 	2900 	10
2025 	2900 	8
3046 	2900 	26
3748 	2900 	2
373 	2900 	9
751 	2900 	12
1336 	0392 	12
1336 	2900 	10
2434 	2900 	29
2203 	2900 	5
2227 	2900 	15
2958 	0392 	1
2958 	1210 	1
2958 	2900 	3
4153 	2900 	1
280 	2900 	3
1011 	2900 	1
1820 	2900 	5
2783 	0158 	1
2783 	2900 	5
3368 	2900 	6
2478 	0158 	1
2979 	2900 	2
3491 	2900 	73
4176 	2900 	1
633 	2900 	26
3148 	2900 	1
3148 	1100 	1
4008 	0392 	4
336 	0000 	1
336 	6030 	14
418 	2900 	19
1695 	2900 	7
1968 	5840 	1
1968 	2900 	20
1968 	5510 	1
1968 	7310 	1
2285 	2900 	2
3044 	2900 	1
3332 	2900 	9
3332 	0392 	5
3371 	0392 	4
3371 	2900 	44
3903 	0158 	2
43 	0158 	1
985 	2900 	13
1483 	2900 	9
2027 	4920 	1
2606 	2900 	1
2750 	2900 	8
3649 	2900 	16
1419 	2900 	1
1569 	2900 	11
1723 	2900 	22
1727 	0392 	3
1727 	2900 	8
1837 	2900 	3
2771 	4510 	1
2771 	2900 	2
817 	6020 	7
817 	2900 	3
3365 	2900 	18
4103 	5620 	1
4103 	0392 	2
4140 	2900 	8
335 	2900 	20
2995 	2900 	22
3438 	2900 	101
3438 	3040 	1
167 	2900 	6
167 	5620 	1
779 	2900 	6
1037 	2900 	3
1671 	2900 	3
1696 	2900 	11
1696 	0392 	4
2936 	2900 	37
3178 	2900 	1
3331 	2610 	1
3331 	2900 	4
3389 	2900 	4
3414 	2900 	3
3859 	2900 	9
3859 	0392 	1
1026 	2900 	14
1245 	2900 	64
2678 	2900 	41
3187 	2900 	1
3306 	0392 	1
3306 	2900 	7
3648 	2900 	72
179 	2900 	10
284 	2900 	20
1612 	2900 	10
1688 	2900 	2
2690 	2900 	10
3348 	2900 	1
511 	4520 	1
511 	0392 	16
511 	2900 	15
2037 	2900 	4
2037 	2610 	1
2051 	2900 	8
2051 	0158 	4
2379 	0158 	5
2379 	2900 	1
4157 	2900 	6
7 	2900 	8
259 	2900 	8
677 	2900 	5
1886 	2900 	30
1886 	0392 	2
2517 	6510 	2
3449 	2900 	40
3926 	2900 	24
3926 	0158 	4
16 	0392 	1
16 	2900 	111
144 	0392 	7
144 	2900 	8
993 	2900 	4
1297 	2900 	20
1634 	2900 	6
