83 	0392 	5380345.0 	25
135 	0392 	1.0973919E7 	48
369 	0392 	1.2575987E7 	21
502 	0392 	5701121.0 	28
567 	0392 	2031081.0 	10
626 	0392 	7931171.0 	13
844 	0392 	4044003.0 	19
859 	0392 	149621.0 	13
1001 	0392 	1185001.0 	6
1059 	0392 	42679.0 	6
1109 	0392 	5904654.0 	18
1121 	0392 	3975549.0 	10
1228 	0392 	5905329.0 	19
1391 	0392 	6100234.0 	28
1572 	0392 	7960988.0 	18
1675 	0392 	5904654.0 	18
1729 	0392 	6664961.0 	18
1743 	0392 	1008459.0 	3
1791 	0392 	4023745.0 	19
1992 	0392 	7961552.0 	18
2008 	0392 	7056.0 	1
2054 	0392 	5970393.0 	23
2275 	0392 	1994944.0 	3
2340 	0392 	1.0237207E7 	45
2365 	0392 	1.0901091E7 	48
2368 	0392 	4017880.0 	19
2613 	0392 	1994944.0 	3
2763 	0392 	5905329.0 	19
2807 	0392 	1.1440796E7 	18
2860 	0392 	2058175.0 	11
2871 	0392 	1509730.0 	5
2904 	0392 	8988013.0 	11
3024 	0392 	7989128.0 	34
3155 	0392 	3161233.0 	14
3165 	0392 	6903606.0 	19
3211 	0392 	1992057.0 	9
3228 	0392 	9954427.0 	40
3287 	0392 	5186850.0 	23
3304 	0392 	1995619.0 	4
3370 	0392 	1999052.0 	10
3441 	0392 	5323990.0 	14
3648 	0392 	4918262.0 	16
3662 	0392 	14313.0 	2
3735 	0608 	1.0109371E7 	44
3749 	0392 	3171771.0 	14
3779 	0392 	1.7602293E7 	33
3910 	0392 	4930693.0 	17
3971 	0392 	5315322.0 	23
3983 	0392 	5904654.0 	18
4040 	0392 	9330408.0 	52
4043 	0392 	49712.0 	7
4109 	0392 	1008459.0 	3
