0 	d3 	449 	092414 	500
449 	d3 	0 	092414 	500
414 	d19 	3 	173611 	300
3 	d19 	414 	173611 	300
601 	d1 	610 	161515 	500
610 	d1 	601 	161515 	500
601 	d1 	610 	161515 	500
610 	d1 	601 	161515 	500
662 	d38 	9 	134955 	300
9 	d38 	662 	134955 	300
662 	d38 	9 	134955 	300
9 	d38 	662 	134955 	300
10 	d74 	662 	132217 	1000
662 	d74 	10 	132217 	1000
662 	d70 	13 	111215 	9000
13 	d70 	662 	111215 	9000
662 	d70 	13 	111215 	9000
13 	d70 	662 	111215 	9000
662 	d70 	183 	111702 	6000
183 	d70 	662 	111702 	6000
662 	d70 	183 	111702 	6000
183 	d70 	662 	111702 	6000
662 	d69 	18 	112425 	5000
18 	d69 	662 	112425 	5000
662 	d69 	18 	112425 	5000
18 	d69 	662 	112425 	5000
662 	d69 	18 	112425 	5000
18 	d69 	662 	112425 	5000
19 	d9 	585 	154633 	100
585 	d9 	19 	154633 	100
662 	d63 	22 	194702 	30000
22 	d63 	662 	194702 	30000
662 	d63 	22 	194702 	30000
22 	d63 	662 	194702 	30000
318 	d27 	24 	155659 	10000
24 	d27 	318 	155659 	10000
662 	d64 	375 	152210 	3000
375 	d64 	662 	152210 	3000
662 	d64 	375 	152210 	3000
375 	d64 	662 	152210 	3000
19 	d8 	571 	123704 	100
571 	d8 	19 	123704 	100
662 	d47 	649 	115848 	300
649 	d47 	662 	115848 	300
662 	d47 	649 	115848 	300
649 	d47 	662 	115848 	300
662 	d47 	636 	120013 	300
636 	d47 	662 	120013 	300
662 	d47 	636 	120013 	300
636 	d47 	662 	120013 	300
662 	d78 	33 	110810 	2000
33 	d78 	662 	110810 	2000
662 	d78 	33 	110810 	2000
33 	d78 	662 	110810 	2000
3 	d18 	414 	171008 	2000
414 	d18 	3 	171008 	2000
3 	d18 	414 	171008 	2000
414 	d18 	3 	171008 	2000
654 	d20 	38 	203609 	16080
38 	d20 	654 	203609 	16080
654 	d20 	38 	203609 	16080
38 	d20 	654 	203609 	16080
662 	d48 	471 	145751 	300
471 	d48 	662 	145751 	300
662 	d48 	471 	145751 	300
471 	d48 	662 	145751 	300
1918 	d85 	43 	155116 	8000
43 	d85 	1918 	155116 	8000
1918 	d85 	43 	155116 	8000
43 	d85 	1918 	155116 	8000
44 	d54 	662 	162951 	1000
662 	d54 	44 	162951 	1000
46 	d14 	565 	092700 	500
565 	d14 	46 	092700 	500
1911 	d82 	513 	175414 	300
513 	d82 	1911 	175414 	300
1911 	d82 	513 	175414 	300
513 	d82 	1911 	175414 	300
1918 	d39 	52 	081835 	990000
52 	d39 	1918 	081835 	990000
1918 	d39 	52 	081835 	990000
52 	d39 	1918 	081835 	990000
53 	d46 	662 	115031 	3000
662 	d46 	53 	115031 	3000
662 	d46 	636 	175222 	300
636 	d46 	662 	175222 	300
662 	d46 	636 	175222 	300
636 	d46 	662 	175222 	300
662 	d46 	545 	175502 	300
545 	d46 	662 	175502 	300
662 	d46 	545 	175502 	300
545 	d46 	662 	175502 	300
662 	d25 	318 	142327 	300
318 	d25 	662 	142327 	300
662 	d25 	318 	142327 	300
318 	d25 	662 	142327 	300
662 	d78 	62 	115218 	4800
62 	d78 	662 	115218 	4800
662 	d78 	62 	115218 	4800
62 	d78 	662 	115218 	4800
63 	d58 	662 	115254 	3000
662 	d58 	63 	115254 	3000
65 	d24 	523 	191230 	200
523 	d24 	65 	191230 	200
65 	d24 	637 	191358 	100
637 	d24 	65 	191358 	100
68 	d24 	654 	112516 	400
654 	d24 	68 	112516 	400
662 	d40 	71 	171953 	300
71 	d40 	662 	171953 	300
662 	d40 	71 	171953 	300
71 	d40 	662 	171953 	300
72 	d51 	662 	201756 	1000
662 	d51 	72 	201756 	1000
74 	d6 	75 	123707 	4000
75 	d6 	74 	123707 	4000
19 	d9 	520 	135116 	100
520 	d9 	19 	135116 	100
19 	d10 	571 	160042 	100
571 	d10 	19 	160042 	100
643 	d10 	80 	210732 	1000
80 	d10 	643 	210732 	1000
643 	d10 	80 	210732 	1000
80 	d10 	643 	210732 	1000
598 	d24 	600 	101339 	4000
600 	d24 	598 	101339 	4000
598 	d24 	600 	101339 	4000
600 	d24 	598 	101339 	4000
65 	d25 	637 	141721 	100
