384 	d17 	113332 	0392
369 	d18 	111242 	2900
399 	d2 	090631 	2900
601 	d6 	102413 	2900
520 	d11 	092241 	2900
1984 	d11 	181856 	2900
1911 	d34 	143345 	2900
1959 	d34 	143803 	2900
662 	d28 	115012 	2900
662 	d28 	082901 	2900
1948 	d60 	101450 	2900
1948 	d61 	105021 	2900
1936 	d74 	164217 	2900
399 	d2 	110817 	2900
1911 	d38 	103707 	2900
1964 	d38 	103719 	2900
643 	d13 	093714 	2900
603 	d4 	152142 	2900
662 	d74 	091747 	2900
662 	d70 	104732 	2900
603 	d4 	145401 	2900
1937 	d40 	112713 	2900
396 	d2 	110405 	2900
514 	d2 	155611 	1310
514 	d3 	161535 	1310
399 	d3 	090803 	2900
585 	d11 	093348 	2900
1918 	d63 	183905 	2900
1948 	d63 	114832 	2900
1936 	d63 	125400 	0392
1949 	d63 	184210 	2900
1944 	d30 	143112 	0392
662 	d27 	095028 	2900
130 	d28 	112715 	2900
369 	d18 	110559 	2900
369 	d18 	155753 	2900
412 	d18 	103827 	2900
607 	d18 	094527 	2900
1918 	d39 	081729 	2900
569 	d42 	094148 	2900
1943 	d63 	192508 	2900
1940 	d63 	121131 	2900
1935 	d64 	130048 	2900
603 	d6 	102510 	2900
585 	d7 	133102 	0392
571 	d8 	140512 	2900
495 	d30 	161447 	2900
601 	d6 	123243 	2900
585 	d7 	163832 	0392
1911 	d41 	101821 	2900
1952 	d65 	192513 	2900
1943 	d63 	121226 	2900
324 	d39 	090741 	2900
75 	d2 	110650 	2900
399 	d3 	122032 	2900
571 	d7 	113641 	0392
571 	d7 	163220 	0392
520 	d7 	113604 	0392
571 	d8 	173129 	2900
1983 	d14 	165022 	2900
662 	d71 	125610 	2900
607 	d11 	173722 	2900
1982 	d38 	135217 	2900
1987 	d46 	144916 	1270
399 	d66 	140754 	2900
1981 	d67 	104739 	2900
1981 	d67 	160418 	0392
1947 	d58 	134559 	6110
571 	d7 	124538 	0392
1952 	d63 	184144 	2900
1935 	d63 	184155 	2900
18 	d57 	102605 	2900
