399 	d2 	131159 	454811
1933 	d65 	130007 	325212
1934 	d65 	140857 	169571
1935 	d66 	114934 	325439
662 	d20 	133444 	313172
565 	d18 	113728 	318517
3 	d18 	182412 	318544
601 	d1 	190600 	454811
563 	d2 	130946 	454811
621 	d6 	125817 	466568
477 	d9 	152220 	20689
514 	d9 	161130 	499964
520 	d10 	171324 	493899
565 	d11 	125442 	7227
409 	d11 	191201 	990373
250 	d27 	170429 	32577
533 	d28 	011653 	64452
662 	d28 	095118 	38939
1936 	d61 	152037 	7239
18 	d62 	171053 	13710
396 	d0 	172418 	195327
563 	d1 	190406 	454811
1937 	d37 	133612 	330120
1938 	d38 	121651 	328190
1939 	d40 	103624 	327048
514 	d12 	141438 	476514
399 	d4 	164020 	459494
1918 	d39 	092020 	327961
1911 	d41 	113707 	330019
1940 	d61 	183616 	326812
1941 	d62 	121236 	325585
1942 	d62 	170800 	325585
514 	d3 	172439 	52826
1942 	d63 	180740 	325212
1943 	d63 	203614 	325212
1942 	d64 	153321 	13703
1944 	d30 	123502 	26153
597 	d26 	114424 	320048
509 	d26 	161353 	179089
1945 	d38 	150214 	328190
569 	d39 	102702 	328190
1940 	d63 	203539 	325212
520 	d7 	102624 	7387
514 	d7 	130718 	493307
571 	d7 	135807 	499977
1946 	d29 	150219 	321606
24 	d30 	141316 	321606
533 	d30 	193409 	7111
563 	d5 	140852 	47329
24 	d29 	131009 	321606
1947 	d58 	021934 	335803
1948 	d58 	150322 	333477
1949 	d65 	195542 	325439
18 	d63 	181040 	325212
654 	d18 	124848 	318532
1950 	d75 	130535 	325752
565 	d15 	154557 	38763
384 	d16 	130129 	317908
1951 	d38 	151447 	327961
1939 	d0 	142428 	499993
1940 	d61 	184736 	7239
18 	d63 	181110 	325212
1934 	d63 	182539 	32960
1952 	d63 	182901 	162850
1953 	d63 	204132 	6982
588 	d7 	130130 	999209
520 	d10 	171151 	500563
1954 	d8 	132636 	985896
520 	d8 	140133 	999209
1955 	d66 	104558 	13703
